shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,41.3790050,2.1127696,152,3284.544
1,41.3788674,2.1126513,153,3302.737
1,41.3787274,2.1125317,154,3321.228
1,41.3784582,2.1123061,155,3356.565
1,41.3784363,2.1122873,156,3359.463
1,41.3782743,2.1121480,157,3380.898
1,41.3780402,2.1119393,158,3412.201
1,41.3778735,2.1117929,159,3434.387
1,41.3778529,2.1117747,160,3437.139
1,41.3776688,2.1116125,161,3461.665
1,41.3775188,2.1114847,162,3481.454
1,41.3773232,2.1113159,163,3507.353
1,41.3771854,2.1111942,164,3525.729
1,41.3771394,2.1111540,165,3531.849
1,41.3770806,2.1111032,166,3539.635
1,41.3770473,2.1110736,167,3544.087
1,41.3769981,2.1110394,168,3550.255
1,41.3769453,2.1110007,169,3556.941
1,41.3768947,2.1109662,170,3563.264
1,41.3767890,2.1108850,171,3576.813
1,41.3767503,2.1108590,172,3581.636
1,41.3767458,2.1108558,173,3582.200
1,41.3767131,2.1108329,174,3586.308
1,41.3766772,2.1108114,175,3590.680
1,41.3766582,2.1108000,176,3592.989
1,41.3765996,2.1107629,177,3600.205
1,41.3765111,2.1107005,178,3611.327
1,41.3764571,2.1106644,179,3618.043
1,41.3763861,2.1106182,180,3626.815
1,41.3763437,2.1105898,181,3632.094
1,41.3762979,2.1105586,182,3637.802
1,41.3762634,2.1105349,183,3642.118
1,41.3762009,2.1104929,184,3649.895
1,41.3761632,2.1104687,185,3654.544
1,41.3761365,2.1104505,186,3657.875
1,41.3761019,2.1104268,187,3662.201
1,41.3760746,2.1104046,188,3665.751
1,41.3760467,2.1103791,189,3669.517
1,41.3760170,2.1103405,190,3674.127
1,41.3759905,2.1102955,191,3678.907
1,41.3759758,2.1102614,192,3682.194
1,41.3759608,2.1102161,193,3686.329
1,41.3759573,2.1101960,194,3688.054
1,41.3759524,2.1101681,195,3690.454
1,41.3759460,2.1100986,196,3696.308
1,41.3759482,2.1098887,197,3713.864
1,41.3759541,2.1096048,198,3737.610
