shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
51_R2S,41.2456494,1.8788677,140
51_R2S,41.2458683,1.8794171,141
51_R2S,41.2474,1.8830269,142
51_R2S,41.2475778,1.8835002,143
51_R2S,41.2476462,1.8837313,144
51_R2S,41.2477486,1.8842225,145
51_R2S,41.2483842,1.8888207,146
51_R2S,41.2485632,1.8896771,147
51_R2S,41.2488103,1.8905313,148
51_R2S,41.2490423,1.8911803,149
51_R2S,41.2516812,1.8977023,150
51_R2S,41.2518478,1.8980732,151
51_R2S,41.2521511,1.898685,152
51_R2S,41.2546501,1.903218,153
51_R2S,41.2548545,1.9037027,154
51_R2S,41.2551801,1.9047996,155
51_R2S,41.255272,1.9052157,156
51_R2S,41.255697,1.908098,157
51_R2S,41.2560693,1.9108477,158
51_R2S,41.2561531,1.9113756,159
51_R2S,41.2598209,1.9207483,160
51_R2S,41.2600075,1.9210532,161
51_R2S,41.2604601,1.9218623,162
51_R2S,41.260771,1.9225579,163
51_R2S,41.2609714,1.9231777,164
51_R2S,41.262127,1.9280064,165
51_R2S,41.262356,1.9288001,166
51_R2S,41.2626022,1.9297465,167
51_R2S,41.2636641,1.9329779,168
51_R2S,41.2640172,1.9341281,169
51_R2S,41.2643236,1.9353123,170
51_R2S,41.2645141,1.936258,171
51_R2S,41.2646743,1.9372909,172
51_R2S,41.2647829,1.9381292,173
51_R2S,41.2669541,1.9561928,174
51_R2S,41.2675647,1.9615228,175
51_R2S,41.2676674,1.9621967,176
51_R2S,41.2678352,1.963056,177
51_R2S,41.2681353,1.9642044,178
51_R2S,41.2683732,1.9649199,179
51_R2S,41.2687007,1.9657751,180
51_R2S,41.2689679,1.9663985,181
51_R2S,41.2692549,1.9669957,182
51_R2S,41.2695538,1.9675575,183
51_R2S,41.2699381,1.9681993,184
51_R2S,41.2702962,1.9687332,185
51_R2S,41.2706697,1.96924,186
51_R2S,41.2731849,1.9723957,187
51_R2S,41.2751999,1.974894,188
51_R2S,41.2769489,1.9771021,189
51_R2S,41.300269,2.0062112,190
51_R2S,41.3007493,2.006839,191
51_R2S,41.3014525,2.0078009,192
51_R2S,41.3020398,2.0086522,193
51_R2S,41.3023121,2.0090762,194
51_R2S,41.3029203,2.0101003,195
51_R2S,41.303294,2.0108031,196
51_R2S,41.3036598,2.0115531,197
51_R2S,41.3038933,2.01207,198
51_R2S,41.3042191,2.0128588,199
51_R2S,41.304816,2.0144851,200
51_R2S,41.3125951,2.0369915,201
51_R2S,41.3260906,2.0761792,202
51_R2S,41.3268295,2.0782383,203
51_R2S,41.3279608,2.081497,204
51_R2S,41.3282659,2.0826612,205
51_R2S,41.328622,2.0837648,206
51_R2S,41.3317416,2.092746,207
51_R2S,41.3327122,2.0954508,208
51_R2S,41.3336288,2.0980896,209
51_R2S,41.3357444,2.1043141,210
51_R2S,41.3366963,2.1072071,211
51_R2S,41.338111,2.1111475,212
51_R2S,41.3383771,2.1117713,213
51_R2S,41.3386168,2.1122186,214
51_R2S,41.338849,2.1125753,215
51_R2S,41.3391037,2.1129038,216
51_R2S,41.339379,2.1132014,217
51_R2S,41.3396728,2.1134662,218
51_R2S,41.3399829,2.1136961,219
51_R2S,41.3403069,2.1138891,220
51_R2S,41.3407764,2.1140907,221
51_R2S,41.3409997,2.1141629,222
51_R2S,41.3413194,2.1142354,223
51_R2S,41.3418386,2.1143119,224
51_R2S,41.3473872,2.1149524,225
51_R2S,41.3490565,2.1151754,226
51_R2S,41.3502455,2.1152835,227
51_R2S,41.351899,2.1154056,228
51_R2S,41.3563181,2.1158369,229
51_R2S,41.3590704,2.1160236,230
51_R2S,41.360693,2.1161642,231
51_R2S,41.3623119,2.1163254,232
51_R2S,41.3645708,2.1165892,233
51_R2S,41.3652088,2.1167024,234
51_R2S,41.3654597,2.1167738,235
51_R2S,41.3657152,2.1168706,236
51_R2S,41.365929,2.1169752,237
51_R2S,41.3661767,2.1171274,238
51_R2S,41.3664135,2.1173078,239
51_R2S,41.3666376,2.1175147,240
51_R2S,41.3668471,2.1177469,241
51_R2S,41.3670407,2.1180023,242
51_R2S,41.3672168,2.1182793,243
51_R2S,41.3673764,2.1185806,244
51_R2S,41.3676088,2.1191537,245
51_R2S,41.3677797,2.119758,246
51_R2S,41.367914,2.1204956,247
51_R2S,41.3679952,2.1213251,248
51_R2S,41.368006,2.1215173,249
51_R2S,41.3679614,2.1230707,250
51_R2S,41.3679763,2.1240486,251
51_R2S,41.3680348,2.1247969,252
51_R2S,41.368164,2.125703,253
51_R2S,41.3682758,2.1262494,254
51_R2S,41.3684111,2.1268039,255
51_R2S,41.3687496,2.1279707,256
51_R2S,41.3690079,2.1286316,257
51_R2S,41.3692369,2.1290937,258
51_R2S,41.3694746,2.1295215,259
51_R2S,41.3697666,2.1299917,260
51_R2S,41.3700139,2.1303378,261
51_R2S,41.3703856,2.1308159,262
51_R2S,41.3708145,2.1312937,263
51_R2S,41.3713824,2.1318443,264
51_R2S,41.3721706,2.1325708,265
51_R2S,41.3746349,2.134787,266
51_R2S,41.3751477,2.1352926,267
51_R2S,41.3757407,2.1359153,268
51_R2S,41.3763393,2.1365907,269
51_R2S,41.376906,2.137277,270
51_R2S,41.3774461,2.1379781,271
51_R2S,41.3779776,2.1387288,272
51_R2S,41.3792675,2.1407806,273
