service_id,date,exception_type
6c4bdae302747640fd55c10d40,20260921,1
6350da927c76,20260921,1
684bdae302747664,20260921,1
6c4bdae302747640fd55c10d40,20260922,1
6350da927c76,20260922,1
684bdae302747664,20260922,1
6350da927c76,20260923,1
6c4bdaeb02777640fd55c1,20260924,1
6c4bdae302747640fd55c10d40,20260928,1
6350da927c76,20260928,1
684bdae302747664,20260928,1
6c4bdae302747640fd55c10d40,20260929,1
6350da927c76,20260929,1
684bdae302747664,20260929,1
6c4bdae302747640fd55c10d40,20260930,1
6350da927c76,20260930,1
684bdae302747664,20260930,1
6c4bdae302747640fd55c10d40,20261001,1
6350da927c76,20261001,1
684bdae302747664,20261001,1
6350da927c76,20261002,1
