shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100043,41.398499,2.125574,0
100043,41.399376,2.124784,1
100043,41.399574,2.124529,2
100043,41.399673,2.124194,3
100043,41.399719,2.124098,4
100043,41.399704,2.123969,5
100043,41.399727,2.123827,6
100043,41.399899,2.123027,7
100043,41.399948,2.122751,8
100043,41.400036,2.122453,9
100043,41.400002,2.121938,10
100043,41.400017,2.12148,11
100043,41.400009,2.121244,12
100043,41.39999,2.121088,13
100043,41.399895,2.120584,14
100043,41.399826,2.120332,15
100043,41.399742,2.120144,16
100043,41.398745,2.118932,17
200043,41.398745,2.118932,0
200043,41.399742,2.120144,1
200043,41.399826,2.120332,2
200043,41.399895,2.120584,3
200043,41.39999,2.121088,4
200043,41.400009,2.121244,5
200043,41.400017,2.12148,6
200043,41.400002,2.121938,7
200043,41.400036,2.122453,8
200043,41.399948,2.122751,9
200043,41.399899,2.123027,10
200043,41.399727,2.123827,11
200043,41.399704,2.123969,12
200043,41.399719,2.124098,13
200043,41.399673,2.124194,14
200043,41.399574,2.124529,15
200043,41.399376,2.124784,16
200043,41.398499,2.125574,17
100049,41.6103728,1.8491793,0
100049,41.6106736,1.8490076,1
100049,41.6111469,1.8488359,2
100049,41.6116482,1.8487608,3
100049,41.612322,1.8488359,4
100049,41.6128434,1.8488735,5
100049,41.6133969,1.8488145,6
100049,41.6135734,1.8487716,7
100049,41.6140426,1.8484014,8
100049,41.6152498,1.8476075,9
100049,41.6157912,1.8472856,10
100049,41.6159918,1.8470925,11
100049,41.6162204,1.846717,12
100049,41.6163407,1.8462503,13
100049,41.6163607,1.8459392,14
100049,41.6163046,1.8455422,15
100049,41.616092,1.8449092,16
100049,41.6156308,1.8435842,17
100049,41.6151696,1.8423343,18
100049,41.6149931,1.8421358,19
100049,41.6142913,1.8416369,20
100049,41.6140988,1.8414277,21
100049,41.6137378,1.840902,22
100049,41.6133729,1.8401563,23
100049,41.6131322,1.8399096,24
100049,41.6123622,1.8396735,25
100049,41.6121937,1.8395072,26
100049,41.6120253,1.8391478,27
100049,41.611921,1.8378282,28
100049,41.6120212,1.8373883,29
100049,41.6120774,1.8369752,30
100049,41.6120373,1.8364388,31
100049,41.6118889,1.8355697,32
100049,41.6117485,1.8351674,33
100049,41.6115079,1.8348616,34
100049,41.6111068,1.8346632,35
100049,41.6107739,1.8344647,36
100049,41.6105292,1.8341911,37
100049,41.6101602,1.8331879,38
100049,41.6101161,1.8329465,39
100049,41.6101161,1.8326461,40
100049,41.6101642,1.8323457,41
100049,41.6101682,1.8320721,42
100049,41.6100961,1.8316966,43
100049,41.6095947,1.8308491,44
100049,41.6094182,1.8305969,45
100049,41.6093059,1.8305004,46
100049,41.6091896,1.8303716,47
100049,41.6088326,1.8298244,48
100049,41.6085839,1.8296206,49
100049,41.6082951,1.8295348,50
100049,41.6080465,1.8294382,51
100049,41.6078379,1.8291914,52
100049,41.6076173,1.8289715,53
100049,41.6072603,1.8288106,54
100049,41.6070597,1.8287301,55
100049,41.6068151,1.8284833,56
100049,41.6066867,1.8283734,57
100049,41.6065423,1.8283278,58
100049,41.6063879,1.8282983,59
100049,41.6062495,1.8283144,60
100049,41.606076,1.8283828,61
100049,41.6059326,1.8284994,62
100049,41.6058334,1.8286148,63
100049,41.6057411,1.8287838,64
100049,41.6056749,1.8290144,65
100049,41.6056117,1.829406,66
100049,41.6054473,1.8304896,67
100049,41.6054082,1.8306398,68
100049,41.605336,1.8308115,69
100049,41.6051444,1.8310891,70
100049,41.6050502,1.8313104,71
100049,41.6050091,1.8314673,72
100049,41.60499,1.8316349,73
100049,41.604993,1.8319139,74
100049,41.605004,1.8319662,75
100049,41.6050161,1.8322733,76
100049,41.605001,1.832449,77
100049,41.6049599,1.832626,78
100049,41.6048998,1.8327896,79
100049,41.6048446,1.8328929,80
100049,41.6047303,1.8330418,81
100049,41.604621,1.8331397,82
100049,41.6043231,1.8333194,83
100049,41.6039551,1.8336922,84
100049,41.6036523,1.833884,85
100049,41.6035329,1.8339269,86
100049,41.6034758,1.8339618,87
100049,41.6032582,1.8340006,88
100049,41.6030746,1.8339859,89
100049,41.6028781,1.8340154,90
100049,41.6027487,1.8340851,91
100049,41.6026264,1.8341669,92
100049,41.602502,1.8343185,93
100049,41.6024428,1.8344204,94
100049,41.6023817,1.834572,95
100049,41.6023335,1.8347356,96
100049,41.6023045,1.8348509,97
100049,41.6022714,1.8350387,98
100049,41.6022633,1.8355899,99
100049,41.6022473,1.8357897,100
100049,41.6022192,1.8359198,101
100049,41.6020979,1.8362255,102
100049,41.6019545,1.8364401,103
100049,41.601776,1.8365903,104
100049,41.6016055,1.8366547,105
100049,41.601436,1.8366654,106
100049,41.6013187,1.8366346,107
100049,41.6011311,1.8365353,108
100049,41.600725,1.8362805,109
100049,41.6005896,1.8362202,110
100049,41.600396,1.8361893,111
100049,41.6002867,1.8362068,112
100049,41.6001353,1.8362631,113
100049,41.600046,1.8363248,114
100049,41.5999367,1.8364334,115
100049,41.5998184,1.8366131,116
100049,41.5996368,1.8369484,117
100049,41.5995596,1.8370624,118
100049,41.5994573,1.837167,119
100049,41.5992347,1.8373078,120
100049,41.5991153,1.837348,121
100049,41.5989529,1.8373628,122
100049,41.5986971,1.8373494,123
100049,41.5984825,1.8373655,124
100049,41.5983672,1.8374111,125
100049,41.5982017,1.8375398,126
100049,41.5980794,1.8377101,127
100049,41.597966,1.8379006,128
100049,41.5978888,1.8380937,129
100049,41.5978597,1.8382385,130
100049,41.5978206,1.838728,131
100049,41.5977935,1.8388608,132
100049,41.5977073,1.839074,133
100049,41.597627,1.8392055,134
100049,41.5975278,1.8393154,135
100049,41.5973954,1.8394107,136
100049,41.597278,1.8394603,137
100049,41.5969561,1.839518,138
100049,41.5968418,1.8395582,139
100049,41.5961086,1.8399779,140
100049,41.5958107,1.8401335,141
100049,41.5955018,1.8403803,142
100049,41.595229,1.8405426,143
100049,41.5949953,1.8406418,144
100049,41.5944588,1.8406217,145
100049,41.5941178,1.8405372,146
100049,41.5937196,1.839935,147
100049,41.5935792,1.8396319,148
100049,41.5932913,1.8389292,149
100049,41.593203,1.8387803,150
100049,41.5931389,1.8386462,151
100049,41.5930737,1.8384759,152
100049,41.5930055,1.8381956,153
100049,41.5925015,1.8369101,154
100049,41.592412,1.8366939,155
100049,41.5922583,1.8364991,156
100050,41.409328,2.111263,0
100050,41.410995,2.10943,1
100050,41.411617,2.108722,2
100050,41.413525,2.106553,3
100050,41.414185,2.105759,4
